ID	Len	Group	GroupCount	Class	ClassCount	Fold	FoldCount
a.100.1.3_d1f0ya1	99	a.100.1.3	1	a	1524	a.100	16
a.100.1.4_d1mv8a1	98	a.100.1.4	1	a	1524	a.100	16
a.100.1.5_d1bg6a1	172	a.100.1.5	1	a	1524	a.100	16
a.100.1.6_d1txga1	155	a.100.1.6	1	a	1524	a.100	16
a.100.1.7_d1yjqa1	126	a.100.1.7	1	a	1524	a.100	16
a.100.1.8_d1i36a1	112	a.100.1.8	1	a	1524	a.100	16
a.100.1.9_d1lj8a3	206	a.100.1.9	1	a	1524	a.100	16
a.101.1.1_d1utga_	70	a.101.1.1	2	a	1524	a.101	2
a.101.1.1_d1zkra2	73	a.101.1.1	2	a	1524	a.101	2
a.102.1.0_d3wkga_	410	a.102.1.0	1	a	1524	a.102	28
a.102.1.1_d2fbaa_	492	a.102.1.1	1	a	1524	a.102	28
a.102.1.2_d1clca1	441	a.102.1.2	5	a	1524	a.102	28
a.102.1.2_d1ks8a1	432	a.102.1.2	5	a	1524	a.102	28
a.102.1.2_d1kwfa_	363	a.102.1.2	5	a	1524	a.102	28
a.102.1.2_d1wzza1	319	a.102.1.2	5	a	1524	a.102	28
a.102.1.2_d4jjja_	638	a.102.1.2	5	a	1524	a.102	28
a.102.1.3_d2zbla1	412	a.102.1.3	1	a	1524	a.102	28
a.102.1.4_d1h54a1	485	a.102.1.4	2	a	1524	a.102	28
a.102.1.4_d1v7wa1	531	a.102.1.4	2	a	1524	a.102	28
a.102.1.5_d1lf6a1	397	a.102.1.5	1	a	1524	a.102	28
a.102.1.6_d1nc5a_	363	a.102.1.6	1	a	1524	a.102	28
a.102.1.7_d2ahfa_	377	a.102.1.7	1	a	1524	a.102	28
a.102.1.8_d3p2ca_	445	a.102.1.8	1	a	1524	a.102	28
a.102.1.9_d2jg0a_	511	a.102.1.9	1	a	1524	a.102	28
a.102.2.1_d1x9da_	453	a.102.2.1	1	a	1524	a.102	28
a.102.3.1_d1qaza_	351	a.102.3.1	1	a	1524	a.102	28
a.102.3.2_d1cb8a1	310	a.102.3.2	3	a	1524	a.102	28
a.102.3.2_d1hn0a1	384	a.102.3.2	3	a	1524	a.102	28
a.102.3.2_d1rwha1	369	a.102.3.2	3	a	1524	a.102	28
a.102.4.0_d4fjqa1	202	a.102.4.0	1	a	1524	a.102	28
a.102.4.2_d1w6ka2	279	a.102.4.2	3	a	1524	a.102	28
a.102.4.2_d2sqca1	353	a.102.4.2	3	a	1524	a.102	28
a.102.4.2_d2sqca2	271	a.102.4.2	3	a	1524	a.102	28
a.102.4.3_d2h6fb1	401	a.102.4.3	1	a	1524	a.102	28
a.102.4.4_d2wy8a_	292	a.102.4.4	1	a	1524	a.102	28
a.102.5.1_d1gxma1	323	a.102.5.1	1	a	1524	a.102	28
a.102.6.1_d2g0da_	409	a.102.6.1	1	a	1524	a.102	28
a.103.1.1_d1csha_	435	a.103.1.1	1	a	1524	a.103	1
a.104.1.0_d3awma_	407	a.104.1.0	5	a	1524	a.104	8
a.104.1.0_d3b6ha1	478	a.104.1.0	5	a	1524	a.104	8
a.104.1.0_d3mgxa_	391	a.104.1.0	5	a	1524	a.104	8
a.104.1.0_d3n9ya_	471	a.104.1.0	5	a	1524	a.104	8
a.104.1.0_d4c9la_	408	a.104.1.0	5	a	1524	a.104	8
a.104.1.1_d1jfba_	399	a.104.1.1	3	a	1524	a.104	8
a.104.1.1_d1po5a1	464	a.104.1.1	3	a	1524	a.104	8
a.104.1.1_d2ij2a_	453	a.104.1.1	3	a	1524	a.104	8
a.108.1.1_d1zavu1	30	a.108.1.1	1	a	1524	a.108	1
a.109.1.1_d1iiea_	75	a.109.1.1	1	a	1524	a.109	1
a.11.1.1_d2cb8a_	86	a.11.1.1	1	a	1524	a.11	3
a.11.2.1_d1h4ra1	111	a.11.2.1	2	a	1524	a.11	3
a.11.2.1_d2al6a1	123	a.11.2.1	2	a	1524	a.11	3
a.110.1.1_d1b25a1	409	a.110.1.1	1	a	1524	a.110	1
a.111.1.1_d1d2ta_	224	a.111.1.1	1	a	1524	a.111	3
a.111.1.2_d1qi9a_	555	a.111.1.2	1	a	1524	a.111	3
a.111.1.3_d3bb0a_	576	a.111.1.3	1	a	1524	a.111	3
a.113.1.1_d1wb9a1	297	a.113.1.1	1	a	1524	a.113	1
a.114.1.1_d1f5na1	300	a.114.1.1	1	a	1524	a.114	1
a.115.1.1_d1bvp11	216	a.115.1.1	1	a	1524	a.115	3
a.115.1.2_d1qhda1	214	a.115.1.2	1	a	1524	a.115	3
a.115.1.3_d1uf2c1	269	a.115.1.3	1	a	1524	a.115	3
a.116.1.1_d1pbwa_	184	a.116.1.1	2	a	1524	a.116	3
a.116.1.1_d1tx4a_	196	a.116.1.1	2	a	1524	a.116	3
a.116.1.2_d1wera_	324	a.116.1.2	1	a	1524	a.116	3
a.117.1.1_d1nvus_	481	a.117.1.1	1	a	1524	a.117	1
a.118.1.0_d2bpta_	861	a.118.1.0	7	a	1524	a.118	102
a.118.1.0_d2xzga2	27	a.118.1.0	7	a	1524	a.118	102
a.118.1.0_d3juia1	168	a.118.1.0	7	a	1524	a.118	102
a.118.1.0_d3jxya1	230	a.118.1.0	7	a	1524	a.118	102
a.118.1.0_d3vyca_	987	a.118.1.0	7	a	1524	a.118	102
a.118.1.0_d4b8ja_	470	a.118.1.0	7	a	1524	a.118	102
a.118.1.0_d4fkea4	330	a.118.1.0	7	a	1524	a.118	102
a.118.1.10_d2jkrb_	571	a.118.1.10	1	a	1524	a.118	102
a.118.1.13_d1oxja2	108	a.118.1.13	1	a	1524	a.118	102
a.118.1.14_d1h6ka1	264	a.118.1.14	8	a	1524	a.118	102
a.118.1.14_d1h6ka2	190	a.118.1.14	8	a	1524	a.118	102
a.118.1.14_d1h6ka3	296	a.118.1.14	8	a	1524	a.118	102
a.118.1.14_d1hu3a1	242	a.118.1.14	8	a	1524	a.118	102
a.118.1.14_d1ug3a1	193	a.118.1.14	8	a	1524	a.118	102
a.118.1.14_d1ug3a2	127	a.118.1.14	8	a	1524	a.118	102
a.118.1.14_d1uw4b_	248	a.118.1.14	8	a	1524	a.118	102
a.118.1.14_d2nsza1	129	a.118.1.14	8	a	1524	a.118	102
a.118.1.15_d1upka_	330	a.118.1.15	1	a	1524	a.118	102
a.118.1.16_d1oyza_	276	a.118.1.16	2	a	1524	a.118	102
a.118.1.16_d1te4a_	111	a.118.1.16	2	a	1524	a.118	102
a.118.1.17_d3zboa1	235	a.118.1.17	1	a	1524	a.118	102
a.118.1.18_d1rz4a2	130	a.118.1.18	1	a	1524	a.118	102
a.118.1.19_d3ibva_	975	a.118.1.19	1	a	1524	a.118	102
a.118.1.1_d1wa5c_	959	a.118.1.1	3	a	1524	a.118	102
a.118.1.1_d2z5ka_	886	a.118.1.1	3	a	1524	a.118	102
a.118.1.1_d4ev8a_	504	a.118.1.1	3	a	1524	a.118	102
a.118.1.20_d2jaka1	343	a.118.1.20	1	a	1524	a.118	102
a.118.1.21_d1xqra1	267	a.118.1.21	1	a	1524	a.118	102
a.118.1.22_d1z3xa1	87	a.118.1.22	1	a	1524	a.118	102
a.118.1.23_d2bnxa1	343	a.118.1.23	1	a	1524	a.118	102
a.118.1.24_d1xm9a1	457	a.118.1.24	1	a	1524	a.118	102
a.118.1.25_d2i9ca1	121	a.118.1.25	1	a	1524	a.118	102
a.118.1.26_d1z5ha4	291	a.118.1.26	1	a	1524	a.118	102
a.118.1.27_d4qmea4	328	a.118.1.27	1	a	1524	a.118	102
a.118.1.2_d1u6gc_	1207	a.118.1.2	2	a	1524	a.118	102
a.118.1.2_d4i5la_	582	a.118.1.2	2	a	1524	a.118	102
a.118.1.3_d1b89a_	336	a.118.1.3	1	a	1524	a.118	102
a.118.1.5_d1lrva_	233	a.118.1.5	1	a	1524	a.118	102
a.118.1.6_d1e7ua1	201	a.118.1.6	1	a	1524	a.118	102
a.118.1.7_d3u9wa3	150	a.118.1.7	1	a	1524	a.118	102
a.118.1.8_d3gvoa_	342	a.118.1.8	1	a	1524	a.118	102
a.118.1.9_d1ho8a_	477	a.118.1.9	1	a	1524	a.118	102
a.118.11.1_d3ag3e_	105	a.118.11.1	1	a	1524	a.118	102
a.118.12.1_d2grrb_	157	a.118.12.1	1	a	1524	a.118	102
a.118.13.1_d1k8kg_	143	a.118.13.1	1	a	1524	a.118	102
a.118.14.1_d4fhrb1	213	a.118.14.1	1	a	1524	a.118	102
a.118.15.1_d1l5ja1	160	a.118.15.1	1	a	1524	a.118	102
a.118.16.0_d3axja1	221	a.118.16.0	1	a	1524	a.118	102
a.118.17.0_d2wzka1	375	a.118.17.0	2	a	1524	a.118	102
a.118.17.0_d4a64a1	346	a.118.17.0	2	a	1524	a.118	102
a.118.17.2_d2b1ea_	557	a.118.17.2	2	a	1524	a.118	102
a.118.17.2_d2d2sa1	229	a.118.17.2	2	a	1524	a.118	102
a.118.18.1_d1klxa_	133	a.118.18.1	1	a	1524	a.118	102
a.118.19.1_d1q2za_	120	a.118.19.1	1	a	1524	a.118	102
a.118.20.1_d1wy6a_	161	a.118.20.1	1	a	1524	a.118	102
a.118.21.1_d1n8va_	101	a.118.21.1	1	a	1524	a.118	102
a.118.22.1_d1n4ka1	167	a.118.22.1	1	a	1524	a.118	102
a.118.23.1_d2a9ua1	134	a.118.23.1	1	a	1524	a.118	102
a.118.24.1_d2ajaa1	346	a.118.24.1	1	a	1524	a.118	102
a.118.25.1_d1yvra1	359	a.118.25.1	1	a	1524	a.118	102
a.118.26.0_d2yvya1	127	a.118.26.0	1	a	1524	a.118	102
a.118.26.1_d2ouxa1	130	a.118.26.1	1	a	1524	a.118	102
a.118.27.1_d3mmia_	342	a.118.27.1	2	a	1524	a.118	102
a.118.27.1_d4lx1a_	384	a.118.27.1	2	a	1524	a.118	102
a.118.3.1_d1r8se_	187	a.118.3.1	1	a	1524	a.118	102
a.118.4.1_d1lsha1	336	a.118.4.1	1	a	1524	a.118	102
a.118.5.1_d1qsaa1	450	a.118.5.1	1	a	1524	a.118	102
a.118.6.1_d1dcea1	335	a.118.6.1	2	a	1524	a.118	102
a.118.6.1_d2h6fa1	315	a.118.6.1	2	a	1524	a.118	102
a.118.7.1_d2o8pa1	220	a.118.7.1	2	a	1524	a.118	102
a.118.7.1_d3mhra1	231	a.118.7.1	2	a	1524	a.118	102
a.118.8.0_d2f42a1	78	a.118.8.0	2	a	1524	a.118	102
a.118.8.0_d4lera_	457	a.118.8.0	2	a	1524	a.118	102
a.118.8.1_d1elwa_	117	a.118.8.1	17	a	1524	a.118	102
a.118.8.1_d1hh8a_	192	a.118.8.1	17	a	1524	a.118	102
a.118.8.1_d1hxia_	112	a.118.8.1	17	a	1524	a.118	102
a.118.8.1_d1ihga1	169	a.118.8.1	17	a	1524	a.118	102
a.118.8.1_d1qqea_	290	a.118.8.1	17	a	1524	a.118	102
a.118.8.1_d1w3ba_	388	a.118.8.1	17	a	1524	a.118	102
a.118.8.1_d1xnfa_	259	a.118.8.1	17	a	1524	a.118	102
a.118.8.1_d1ya0a1	497	a.118.8.1	17	a	1524	a.118	102
a.118.8.1_d1zb1a_	367	a.118.8.1	17	a	1524	a.118	102
a.118.8.1_d1zu2a1	145	a.118.8.1	17	a	1524	a.118	102
a.118.8.1_d2j9qb_	287	a.118.8.1	17	a	1524	a.118	102
a.118.8.1_d2q7fa1	65	a.118.8.1	17	a	1524	a.118	102
a.118.8.1_d2v5fa_	97	a.118.8.1	17	a	1524	a.118	102
a.118.8.1_d2vgxa1	64	a.118.8.1	17	a	1524	a.118	102
a.118.8.1_d2vsna1	168	a.118.8.1	17	a	1524	a.118	102
a.118.8.1_d3o48a1	123	a.118.8.1	17	a	1524	a.118	102
a.118.8.1_d4gq4a2	269	a.118.8.1	17	a	1524	a.118	102
a.118.8.2_d1hz4a_	366	a.118.8.2	1	a	1524	a.118	102
a.118.8.3_d2ff4a2	179	a.118.8.3	1	a	1524	a.118	102
a.118.8.4_d2awia2	231	a.118.8.4	1	a	1524	a.118	102
a.118.8.5_d2i6ha1	179	a.118.8.5	1	a	1524	a.118	102
a.118.8.6_d3ckca_	511	a.118.8.6	1	a	1524	a.118	102
a.118.8.7_d2onda1	308	a.118.8.7	1	a	1524	a.118	102
a.118.8.8_d2hr2a1	156	a.118.8.8	1	a	1524	a.118	102
a.118.9.0_d3zyla1	144	a.118.9.0	2	a	1524	a.118	102
a.118.9.0_d3zyqa1	142	a.118.9.0	2	a	1524	a.118	102
a.118.9.1_d1eyha_	144	a.118.9.1	1	a	1524	a.118	102
a.118.9.4_d3d9ja1	135	a.118.9.4	2	a	1524	a.118	102
a.118.9.4_d4hfga_	129	a.118.9.4	2	a	1524	a.118	102
a.119.1.1_d3pzwa2	690	a.119.1.1	1	a	1524	a.119	1
a.12.1.1_d4i9oa_	78	a.12.1.1	1	a	1524	a.12	1
a.120.1.1_d1c1ka_	217	a.120.1.1	1	a	1524	a.120	1
a.121.1.1_d1rkta2	123	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d1sgma2	111	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d1t33a2	132	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d1ui5a2	133	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d1vi0a2	117	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d1z0xa2	149	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d1zk8a2	105	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2d6ya2	118	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2fbqa2	134	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2fd5a2	104	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2fq4a2	115	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2g7ga2	132	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2g7la2	144	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2g7sa2	116	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2gena2	118	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2gfna2	119	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2hkua2	121	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2hyja2	118	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2i10a2	116	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2id3a2	123	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2id6a2	125	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2iu5a2	109	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2jj7a2	107	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2np3a2	112	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2np5a2	118	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2o7ta2	110	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2oi8a2	130	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2xpwa2	141	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d2yvea2	101	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d3br0a2	115	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d3c07a2	146	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d3q0wa2	120	a.121.1.1	33	a	1524	a.121	33
a.121.1.1_d4jyka2	126	a.121.1.1	33	a	1524	a.121	33
a.123.1.0_d2xhsa1	237	a.123.1.0	1	a	1524	a.123	5
a.123.1.1_d1fcya_	236	a.123.1.1	4	a	1524	a.123	5
a.123.1.1_d1xnxa_	232	a.123.1.1	4	a	1524	a.123	5
a.123.1.1_d2hwqb_	261	a.123.1.1	4	a	1524	a.123	5
a.123.1.1_d4pf3a_	249	a.123.1.1	4	a	1524	a.123	5
a.124.1.0_d4cxpa1	263	a.124.1.0	1	a	1524	a.124	2
a.124.1.1_d1ah7a_	245	a.124.1.1	1	a	1524	a.124	2
a.126.1.1_d1kxpd3	69	a.126.1.1	3	a	1524	a.126	3
a.126.1.1_d1n5ua1	195	a.126.1.1	3	a	1524	a.126	3
a.126.1.1_d1n5ua3	196	a.126.1.1	3	a	1524	a.126	3
a.127.1.0_d2j84a_	470	a.127.1.0	3	a	1524	a.127	5
a.127.1.0_d3bhga_	454	a.127.1.0	3	a	1524	a.127	5
a.127.1.0_d4adma_	459	a.127.1.0	3	a	1524	a.127	5
a.127.1.1_d1tjva_	449	a.127.1.1	1	a	1524	a.127	5
a.127.1.2_d1gkma_	509	a.127.1.2	1	a	1524	a.127	5
a.128.1.0_d2ogda_	367	a.128.1.0	4	a	1524	a.128	9
a.128.1.0_d3kb9a_	340	a.128.1.0	4	a	1524	a.128	9
a.128.1.0_d3lsna1	290	a.128.1.0	4	a	1524	a.128	9
a.128.1.0_d4fjqa2	328	a.128.1.0	4	a	1524	a.128	9
a.128.1.1_d1v4ea_	280	a.128.1.1	1	a	1524	a.128	9
a.128.1.2_d3vj8a_	335	a.128.1.2	1	a	1524	a.128	9
a.128.1.4_d1hm7a_	304	a.128.1.4	2	a	1524	a.128	9
a.128.1.4_d4kwda_	304	a.128.1.4	2	a	1524	a.128	9
a.128.1.5_d2ps5a_	353	a.128.1.5	1	a	1524	a.128	9
a.129.1.2_d1q3qa1	259	a.129.1.2	1	a	1524	a.129	1
a.13.1.1_d1nrea_	81	a.13.1.1	2	a	1524	a.13	2
a.13.1.1_d2fcwa1	105	a.13.1.1	2	a	1524	a.13	2
a.130.1.1_d2d8da1	80	a.130.1.1	2	a	1524	a.130	5
a.130.1.1_d3reta_	97	a.130.1.1	2	a	1524	a.130	5
a.130.1.2_d5csma_	256	a.130.1.2	1	a	1524	a.130	5
a.130.1.3_d2gtvx1	101	a.130.1.3	1	a	1524	a.130	5
a.130.1.4_d2fp1a_	165	a.130.1.4	1	a	1524	a.130	5
a.131.1.1_d1pprm1	156	a.131.1.1	1	a	1524	a.131	1
a.132.1.0_d1z72a_	217	a.132.1.0	3	a	1524	a.132	9
a.132.1.0_d2qzca_	211	a.132.1.0	3	a	1524	a.132	9
a.132.1.0_d3no6a1	227	a.132.1.0	3	a	1524	a.132	9
a.132.1.1_d1wzda_	209	a.132.1.1	1	a	1524	a.132	9
a.132.1.2_d1j77a_	200	a.132.1.2	1	a	1524	a.132	9
a.132.1.3_d2a2ma1	231	a.132.1.3	2	a	1524	a.132	9
a.132.1.3_d2q4xa_	215	a.132.1.3	2	a	1524	a.132	9
a.132.1.4_d1rcwa_	213	a.132.1.4	2	a	1524	a.132	9
a.132.1.4_d3hlxa1	250	a.132.1.4	2	a	1524	a.132	9
a.133.1.1_d1poca_	134	a.133.1.1	1	a	1524	a.133	3
a.133.1.2_d1mc2a_	122	a.133.1.2	1	a	1524	a.133	3
a.133.1.3_d1lwba_	122	a.133.1.3	1	a	1524	a.133	3
a.134.1.1_d2aiba_	98	a.134.1.1	1	a	1524	a.134	1
a.135.1.1_d4bkha1	90	a.135.1.1	1	a	1524	a.135	1
a.136.1.1_d1dvoa_	152	a.136.1.1	2	a	1524	a.136	2
a.136.1.1_d3mw6a_	122	a.136.1.1	2	a	1524	a.136	2
a.137.1.1_d1vq821	49	a.137.1.1	1	a	1524	a.137	14
a.137.10.1_d4ihje_	136	a.137.10.1	1	a	1524	a.137	14
a.137.11.1_d1rp3b_	87	a.137.11.1	1	a	1524	a.137	14
a.137.12.1_d3ip4c_	92	a.137.12.1	1	a	1524	a.137	14
a.137.13.1_d1wmib1	61	a.137.13.1	1	a	1524	a.137	14
a.137.14.1_d2fo1d1	63	a.137.14.1	1	a	1524	a.137	14
a.137.15.1_d2es4d1	280	a.137.15.1	1	a	1524	a.137	14
a.137.2.1_d1w6sb_	73	a.137.2.1	1	a	1524	a.137	14
a.137.3.1_d3v5wg_	57	a.137.3.1	1	a	1524	a.137	14
a.137.4.1_d1hfes_	88	a.137.4.1	1	a	1524	a.137	14
a.137.5.1_d1ef1c_	90	a.137.5.1	1	a	1524	a.137	14
a.137.7.1_d1dpjb_	29	a.137.7.1	1	a	1524	a.137	14
a.137.8.1_d3ziai_	61	a.137.8.1	1	a	1524	a.137	14
a.137.9.1_d1pbyc_	79	a.137.9.1	1	a	1524	a.137	14
a.138.1.1_d1j0pa_	108	a.138.1.1	4	a	1524	a.138	12
a.138.1.1_d1ofwa_	293	a.138.1.1	4	a	1524	a.138	12
a.138.1.1_d1rwja_	81	a.138.1.1	4	a	1524	a.138	12
a.138.1.1_d3h4na_	68	a.138.1.1	4	a	1524	a.138	12
a.138.1.2_d2wjnc_	332	a.138.1.2	1	a	1524	a.138	12
a.138.1.3_d1ft5a_	211	a.138.1.3	7	a	1524	a.138	12
a.138.1.3_d1h21a_	240	a.138.1.3	7	a	1524	a.138	12
a.138.1.3_d1jnia_	68	a.138.1.3	7	a	1524	a.138	12
a.138.1.3_d1m1qa_	90	a.138.1.3	7	a	1524	a.138	12
a.138.1.3_d1sp3a_	442	a.138.1.3	7	a	1524	a.138	12
a.138.1.3_d3bnja_	471	a.138.1.3	7	a	1524	a.138	12
a.138.1.3_d4fasa_	502	a.138.1.3	7	a	1524	a.138	12
a.139.1.0_d2vn6b_	64	a.139.1.0	3	a	1524	a.139	3
a.139.1.0_d2y3nb1	65	a.139.1.0	3	a	1524	a.139	3
a.139.1.0_d4uypb_	73	a.139.1.0	3	a	1524	a.139	3
a.14.1.1_d1yu5x_	67	a.14.1.1	1	a	1524	a.14	1
a.140.1.1_d1gjja1	50	a.140.1.1	2	a	1524	a.140	14
a.140.1.1_d2odci2	46	a.140.1.1	2	a	1524	a.140	14
a.140.2.1_d1jeqa1	51	a.140.2.1	6	a	1524	a.140	14
a.140.2.1_d1kcfa1	36	a.140.2.1	6	a	1524	a.140	14
a.140.2.1_d1v66a_	65	a.140.2.1	6	a	1524	a.140	14
a.140.2.1_d1y02a1	44	a.140.2.1	6	a	1524	a.140	14
a.140.2.1_d1zrja1	37	a.140.2.1	6	a	1524	a.140	14
a.140.2.1_d4uzwa1	49	a.140.2.1	6	a	1524	a.140	14
a.140.3.1_d1a62a1	47	a.140.3.1	1	a	1524	a.140	14
a.140.3.2_d2hjqa1	54	a.140.3.2	2	a	1524	a.140	14
a.140.3.2_d2outa1	38	a.140.3.2	2	a	1524	a.140	14
a.140.4.1_d1e7la1	54	a.140.4.1	1	a	1524	a.140	14
a.140.5.1_d4zdsa1	131	a.140.5.1	1	a	1524	a.140	14
a.140.6.1_d2dk4a1	63	a.140.6.1	1	a	1524	a.140	14
a.141.1.1_d1ijya_	122	a.141.1.1	1	a	1524	a.141	1
a.142.1.1_d1h99a1	115	a.142.1.1	2	a	1524	a.142	2
a.142.1.1_d1h99a2	107	a.142.1.1	2	a	1524	a.142	2
a.143.1.1_d4g7he_	94	a.143.1.1	1	a	1524	a.143	2
a.143.1.2_d1twff_	84	a.143.1.2	1	a	1524	a.143	2
a.144.1.1_d1i2ta_	61	a.144.1.1	1	a	1524	a.144	2
a.144.2.1_d2j01u1	117	a.144.2.1	1	a	1524	a.144	2
a.145.1.1_d1g8ea_	98	a.145.1.1	1	a	1524	a.145	1
a.146.1.1_d3bqoa_	207	a.146.1.1	1	a	1524	a.146	1
a.147.1.1_d1k1fa_	67	a.147.1.1	1	a	1524	a.147	1
a.148.1.1_d1k8ke_	174	a.148.1.1	1	a	1524	a.148	1
a.149.1.1_d1u61a_	127	a.149.1.1	2	a	1524	a.149	3
a.149.1.1_d2nuga1	148	a.149.1.1	2	a	1524	a.149	3
a.149.1.2_d1ztda1	124	a.149.1.2	1	a	1524	a.149	3
a.15.1.1_d1tbaa_	67	a.15.1.1	1	a	1524	a.15	1
a.150.1.1_d1tlha_	89	a.150.1.1	1	a	1524	a.150	1
a.151.1.1_d1gpja1	102	a.151.1.1	1	a	1524	a.151	1
a.152.1.1_d1knca_	174	a.152.1.1	2	a	1524	a.152	7
a.152.1.1_d2q0ta1	257	a.152.1.1	2	a	1524	a.152	7
a.152.1.2_d1vkea_	118	a.152.1.2	1	a	1524	a.152	7
a.152.1.3_d2gmya1	147	a.152.1.3	2	a	1524	a.152	7
a.152.1.3_d2oyoa1	186	a.152.1.3	2	a	1524	a.152	7
a.152.1.4_d2cwqa1	117	a.152.1.4	2	a	1524	a.152	7
a.152.1.4_d2ouwa1	134	a.152.1.4	2	a	1524	a.152	7
a.153.1.1_d1kbha_	47	a.153.1.1	2	a	1524	a.153	2
a.153.1.1_d1zoqc_	47	a.153.1.1	2	a	1524	a.153	2
a.154.1.1_d1l8wa_	291	a.154.1.1	1	a	1524	a.154	1
a.155.1.1_d1ov9a_	45	a.155.1.1	2	a	1524	a.155	2
a.155.1.1_d2l93a1	47	a.155.1.1	2	a	1524	a.155	2
a.156.1.1_d2uubm1	125	a.156.1.1	1	a	1524	a.156	5
a.156.1.2_d1k3xa1	89	a.156.1.2	3	a	1524	a.156	5
a.156.1.2_d1k82a1	88	a.156.1.2	3	a	1524	a.156	5
a.156.1.2_d1tdha1	115	a.156.1.2	3	a	1524	a.156	5
